Census Resident ID_target,Census Resident ID_candidate
3884923421144387234,7187694860996497287
9255079795761193723,2569439374601751328
1275840941707060069,3829481654988015080
6649897050192934992,7417123544967443723
4314518326940758147,3517302300869048738
4922717888599866009,1647172257132478816
9698387471561229419,3423055430011443301
8868176240121808446,9849153977932932040
5879754719265615009,8441710318983731492
9367445635889974379,4179081689025545419
2314833567459647582,8602132828781016443
3082025299143717788,5516496711012765846
4491029131645264990,4950428612979787901
7032632930759168747,4649206830271178963
9820103902739380087,9251343284058648608
7305609836079371162,1676945377419641949
9350063553111697259,7319500723855296988
7145057978634420303,9581237290111795649
1945194996266002044,6865512691528722886
7198276959136788331,8375822000117333564
4634911218015790369,7219325270423086283
7980477277524385250,5683061918540877792
2729864792856150799,2244502032447256891
7240220716151241848,2440988956177970315
7707411990925003793,7400741948987742250
7864620711081404782,5100476887221779164
6965459454894960923,4426248069431498038
9776293792067736101,2419974706155581063
1962176926558374996,5102587954654288082
4978650026563975327,5151395796590308377
1856455142317703750,6667487090592688523
8706458287184036690,5029201046027655032
5531838228210082713,7639339242515058048
8660677098555071084,6318524740386422100
1251031356450130147,7247640221315183542
6006380367996843777,4105230463476508916
4643176571806086384,7187206174530521441
4874211572422006454,9914462607004821801
7801608150231533408,4343844390780481405
5415149079140256326,9835277077376711676
8639508970194984856,5703149939344657772
6369433624742521136,7490328138621606679
2201090047571546708,4586029081228293888
6701180978009521219,6443511818165435276
2555597926566772466,7307639579917127576
4138466565315473642,3065492285293645220
5247820635871962035,6271180716183506820
1614408765128607099,1162487933327221973
7843939277736436504,8638254325953884051
9472620412240776436,3405064153773864238
1951661405162138517,1220107726423120797
4648266623113325493,7063626105515912878
4484456236839914760,5167601877906546014
3723757820432055945,2508929370057499316
6019883553896488846,6659900365674888662
6437900899190239147,5964939107379047561
7250809589090358921,6307812120536954274
2760245198656393806,6662069430587576089
9357350486277318208,9060849097944818870
2674827322682692521,9120269641400432722
1681839288670438603,8897374624220464336
5190824953834622316,1354855615884698406
2176000643753464426,9754237827288925311
7174628376060290635,4238914030514844103
1630613557119326192,6413433229129451067
2621712134892145638,2142192057731007744
3643338830276922041,5030975046804354930
3749670745849249792,2338541519850224479
9487669745431614828,1421522364601560531
6728622783172060794,6295013498350956790
3809134100680080247,2784001255121342334
8696384962368067348,5573979741626814747
6349883030613360295,6324973607923582601
1991295329918245111,9074980443659257231
3477519184866398802,9323668336957783354
1540092390413022801,1610128717860206331
6925030923148682618,1749306727547971976
6819265619075366052,9399903172027729834
3332068995399283900,6582825249603272289
9248263594940125921,1513049488261785395
6814163862287814862,2150174479358707735
9654785739116877264,3471163210152158153
8666934533627246014,1558761629814808821
2577017592546799354,6962879803770510021
3072432536081578650,7414218506340229100
6171136115072302095,5795285976896202272
9597707125549000693,8348324696089644522
5215024770647335161,6698817232556909280
4833984982204275546,7990683126541454506
3331711567540890238,9561958322815462970
1459995918730929374,3095480035276910498
8916221198481805943,1620620901178524939
6986566049389688462,3593140614471337935
5676670522034352212,9487214818225002597
3840132830799440068,7752173981207288639
1549991939135574176,2810497311963363204
5280989982652921384,2598261263477716290
8657004314536245445,2680797942923887194
8410460598982565968,5144401616086136409
7035389507358039175,9602289432951414158
6236583029156660248,4151750105050584405
7727757304142042311,9025242773822660116
1037915841080930473,5210418374063956234
6891905693823318808,8939389731999216179
9364214969691403364,8314881958551128736
7962681874840594870,4949545684900792210
5296230173744854016,5360888163272576877
9703996832006407845,3082083027409647626
4184459596786843505,3006835800926318259
3407861647486047863,7878020708256998101
1162110888728046606,7143214519381369438
1683355698218102441,1739689061054088956
2908081515721206187,6780840479749388574
9448328515147464399,4037852056197065482
6495787379673137258,4246777609349613564
5609303549250529520,3388871719061587571
1994964047350898633,3347220593983876723
6207610136088839717,1147854617067997001
6118262207906641810,4751102101197643546
7105003648543363291,5769344705612024934
8833728255034149599,2797153497468473314
9289266165079682835,3608600602487306949
9520500590503038944,8733043118219185682
5099029411566584575,3204651548432298370
3359001624720356228,3123251499442698660
9905428576585103124,3957673827518629442
7174322250457746231,6411831311152623826
3920495127162454562,2801033590920133700
4505631988522787951,7046816337001034697
3082855948833393897,8973184353522547897
1973802448324979447,3211186356044341909
4335894724093658636,8134172595331631638
1306333515684345444,9503005359403146417
9070987313648908340,8824419965792060996
4117939234512957018,8441692947484727716
4274464011319345779,6906909746865146406
2805687691466567019,2897244896696555412
5293265998736002736,7357399123407702361
5706566072583035861,1423333884717613045
3825133553720845687,9169480936865150807
6712437167600645920,3669392432972995113
7333074013830414239,5709415236113320420
3082521863950613543,6646833016235178870
4199114587900387399,9536790889444147229
9523367998849212738,3452641822288422325
6096764472699792714,7720492635456092871
8947246565090522178,8311259323682657885
1266330691618101863,7544061465449380108
6604359479095187132,6408826414125684831
1454117062221349763,4262849674676996426
3352481123216354681,4183854237922067467
3828936532193334709,8130871508380127128
4886602125740753106,5586626725650884257
3613798810027728925,9712268503052569987
9425575316405033172,5949140261310696657
1090380170583768489,5543245827681693699
3973709932264551468,1556619481453208800
7265049648001254798,4118327184635196342
4832528702045423436,9722370111338279609
3017256561768614278,8001690584117364916
5697378646691707570,3831911431440757443
5968711463156137244,7149705598314262394
1639235950413704183,7489584012300119024
7512967288373809857,2843113885268942393
